    S:oredict.blockDustAbyssalOat.name=Блок овса (Abyssal)
    S:oredict.blockDustRhyolite.name=Блок пыли (Rhyolite)
    S:oredict.blockDustRice.name=Блок риса
    S:oredict.blockDustRockSalt.name=Блок каменной соли
    S:oredict.blockDustRoentgenium.name=Блок пыли (Roentgenium)
    S:oredict.blockDustRoseGold.name=Блок пыли (Rose Gold)
    S:oredict.blockDustRosewood.name=Блок опилок (Rosewood)
    S:oredict.blockDustRowan.name=Блок опилок (Rowan)
    S:oredict.blockDustRubber.name=Блок опилок (Rubber)
    S:oredict.blockDustRubidium.name=Блок пыли (Rubidium)
    S:oredict.blockDustRubracium.name=Блок пыли (Rubracium)
    S:oredict.blockDustRuby.name=Блок пыли (Ruby)
    S:oredict.blockDustRussellite.name=Блок пыли (Russellite)
    S:oredict.blockDustRuthenium.name=Блок пыли (Ruthenium)
    S:oredict.blockDustRutherfordium.name=Блок пыли (Rutherfordium)
    S:oredict.blockDustRutile.name=Блок пыли (Rutile)
    S:oredict.blockDustRye.name=Блок ржаной муки
    S:oredict.blockDustSacredOak.name=Блок опилок (Sacred Oak)
    S:oredict.blockDustSakura.name=Блок опилок (Sakura)
    S:oredict.blockDustSalt.name=Блок соли
    S:oredict.blockDustSamarium.name=Блок пыли (Samarium)
    S:oredict.blockDustSanguinite.name=Блок пыли (Sanguinite)
    S:oredict.blockDustSapphire.name=Блок пыли (Sapphire)
    S:oredict.blockDustScabyst.name=Блок пыли (Scabyst)
    S:oredict.blockDustScandium.name=Блок пыли (Scandium)
    S:oredict.blockDustScheelite.name=Блок пыли (Scheelite)
    S:oredict.blockDustSeaborgium.name=Блок пыли (Seaborgium)
    S:oredict.blockDustSelenium.name=Блок пыли (Selenium)
    S:oredict.blockDustSequoia.name=Блок опилок (Sequoia)
    S:oredict.blockDustShadowIron.name=Блок пыли (Shadow Iron)
    S:oredict.blockDustShadowSteel.name=Блок пыли (Shadow Steel)
    S:oredict.blockDustShale.name=Блок пыли (Shale)
    S:oredict.blockDustShimmerwood.name=Блок опилок (Shimmerwood)
    S:oredict.blockDustSignalum.name=Блок пыли (Signalum)
    S:oredict.blockDustSilicon.name=Блок пыли (Silicon)
    S:oredict.blockDustSiliconDioxide.name=Блок пыли (Silicon Dioxide)
    S:oredict.blockDustSiltstone.name=Блок пыли (Siltstone)
    S:oredict.blockDustSilver.name=Блок пыли (Silver)
    S:oredict.blockDustSilverIodide.name=Блок пыли (Silver Iodide)
    S:oredict.blockDustSilverPine.name=Блок опилок (Silver Pine)
    S:oredict.blockDustSilverwood.name=Блок опилок (Silverwood)
    S:oredict.blockDustSkyroot.name=Блок опилок (Skyroot)
    S:oredict.blockDustSlate.name=Блок пыли (Slate)
    S:oredict.blockDustSlimyBone.name=Блок пыли (Slimy Bone)
    S:oredict.blockDustSluiceSand.name=Блок шлама
    S:oredict.blockDustSmithsonite.name=Блок пыли (Smithsonite)
    S:oredict.blockDustSmokeyQuartz.name=Блок пыли (Smokey Quartz)
    S:oredict.blockDustSnow.name=Блок снежного порошка
    S:oredict.blockDustSodalite.name=Блок пыли (Sodalite)
    S:oredict.blockDustSodium.name=Блок пыли (Sodium)
    S:oredict.blockDustSodiumAluminate.name=Блок пыли (Sodium Aluminate)
    S:oredict.blockDustSodiumBisulfate.name=Блок пыли (Sodium Bisulfate)
    S:oredict.blockDustSodiumCarbonate.name=Блок пыли (Sodium Carbonate)
    S:oredict.blockDustSodiumFluoride.name=Блок пыли (Sodium Fluoride)
    S:oredict.blockDustSodiumHydroxide.name=Блок пыли (Sodium Hydroxide)
    S:oredict.blockDustSodiumNitrate.name=Блок пыли (Sodium Nitrate)
    S:oredict.blockDustSodiumPersulfate.name=Блок пыли (Sodium Persulfate)
    S:oredict.blockDustSodiumPyrosulfate.name=Блок пыли (Sodium Pyrosulfate)
    S:oredict.blockDustSodiumSulfate.name=Блок пыли (Sodium Sulfate)
    S:oredict.blockDustSodiumSulfide.name=Блок пыли (Sodium Sulfide)
    S:oredict.blockDustSodiumSulfite.name=Блок пыли (Sodium Sulfite)
    S:oredict.blockDustSolderingAlloy.name=Блок пыли (Soldering Alloy)
    S:oredict.blockDustSoularium.name=Блок пыли (Soularium)
    S:oredict.blockDustSoulsand.name=Блок песка душ
    S:oredict.blockDustSoylentGreen.name=Блок нежного изумрудно-зеленого
    S:oredict.blockDustSpaceStone.name=Блок пыли (Space)
    S:oredict.blockDustSpectreIron.name=Блок пыли (Spectre Iron)
    S:oredict.blockDustSperrylite.name=Блок пыли (Sperrylite)
    S:oredict.blockDustSpessartine.name=Блок пыли (Spessartine)
    S:oredict.blockDustSphalerite.name=Блок пыли (Sphalerite)
    S:oredict.blockDustSpinel.name=Блок пыли (Spinel)
    S:oredict.blockDustSpodumene.name=Блок пыли (Spodumene)
    S:oredict.blockDustSpruce.name=Блок опилок (Spruce)
    S:oredict.blockDustStainlessSteel.name=Блок пыли (Stainless Steel)
    S:oredict.blockDustStannite.name=Блок пыли (Stannite)
    S:oredict.blockDustSteel.name=Блок пыли (Steel)
    S:oredict.blockDustSteelGalvanized.name=Блок пыли (Galvanized Steel)
    S:oredict.blockDustSteeleaf.name=Блок опилок (Steeleaf)
    S:oredict.blockDustStellarAlloy.name=Блок пыли (Stellar Alloy)
    S:oredict.blockDustSterlingSilver.name=Блок пыли (Sterling Silver)
    S:oredict.blockDustStibnite.name=Блок пыли (Stibnite)
    S:oredict.blockDustStolzite.name=Блок пыли (Stolzite)
    S:oredict.blockDustStrontium.name=Блок пыли (Strontium)
    S:oredict.blockDustSugar.name=Блок пыли (Sugar)
    S:oredict.blockDustSugilite.name=Блок пыли (Sugilite)
    S:oredict.blockDustSulfur.name=Блок пыли (Sulfur)
    S:oredict.blockDustSunnarium.name=Блок пыли (Sunnarium)
    S:oredict.blockDustSunnyQuartz.name=Блок пыли (Sunny Quartz)
    S:oredict.blockDustSunstone.name=Блок пыли (Sunstone)
    S:oredict.blockDustSweetgum.name=Блок опилок (Sweetgum)
    S:oredict.blockDustSycamore.name=Блок опилок (Sycamore)
    S:oredict.blockDustSyrmorite.name=Блок пыли (Syrmorite)
    S:oredict.blockDustSyzgium.name=Блок опилок (Syzgium)
    S:oredict.blockDustTalc.name=Блок пыли (Talc)
    S:oredict.blockDustTallow.name=Блок волшебного жира
    S:oredict.blockDustTantalite.name=Блок пыли (Tantalite)
    S:oredict.blockDustTantalum.name=Блок пыли (Tantalum)
    S:oredict.blockDustTantalumHafniumCarbide.name=Блок пыли (Tantalum Hafnium Carbide)
    S:oredict.blockDustTantalumPentoxide.name=Блок пыли (Tantalum Pentoxide)
    S:oredict.blockDustTanzanite.name=Блок пыли (Tanzanite)
    S:oredict.blockDustTartarite.name=Блок пыли (Tartarite)
    S:oredict.blockDustTea.name=Блок порошка (Чай)
    S:oredict.blockDustTeak.name=Блок опилок (Teak)
    S:oredict.blockDustTechnetium.name=Блок пыли (Technetium)
    S:oredict.blockDustTellurium.name=Блок пыли (Tellurium)
    S:oredict.blockDustTerbium.name=Блок пыли (Terbium)
    S:oredict.blockDustTerrasteel.name=Блок пыли (Terrasteel)
    S:oredict.blockDustTetrahedrite.name=Блок пыли (Tetrahedrite)
    S:oredict.blockDustThallium.name=Блок пыли (Thallium)
    S:oredict.blockDustThaumium.name=Блок пыли (Thaumium)
    S:oredict.blockDustThorium.name=Блок пыли (Thorium)
    S:oredict.blockDustThorntree.name=Блок опилок (Thorntree)
    S:oredict.blockDustThulium.name=Блок пыли (Thulium)
    S:oredict.blockDustTigerEye.name=Блок пыли (Tiger Eye)
    S:oredict.blockDustTigerIron.name=Блок пыли (Tiger Iron)
    S:oredict.blockDustTin.name=Блок пыли (Tin)
    S:oredict.blockDustTinAlloy.name=Блок пыли (Tin Alloy)
    S:oredict.blockDustTitanium.name=Блок пыли (Titanium)
    S:oredict.blockDustTitaniumAluminide.name=Блок пыли (Titanium Aluminide)
    S:oredict.blockDustTitaniumGold.name=Блок пыли (Titanium-Gold)
    S:oredict.blockDustTitaniumIridium.name=Блок пыли (Iritanium)
    S:oredict.blockDustTofu.name=Блок нежного Тофу
    S:oredict.blockDustTopaz.name=Блок пыли (Topaz)
    S:oredict.blockDustTowerwood.name=Блок опилок (Towerwood)
    S:oredict.blockDustTrinaquadalloy.name=Блок пыли (Trinaquadalloy)
    S:oredict.blockDustTrinitanium.name=Блок пыли (Trinitanium)
    S:oredict.blockDustTrinium.name=Блок пыли (Trinium)
    S:oredict.blockDustTritanium.name=Блок пыли (Tritanium Alloy)
    S:oredict.blockDustTritaniumDioxide.name=Блок пыли (Tritanium Dioxide)
    S:oredict.blockDustTritaniumElemental.name=Блок пыли (Elemental Tritanium)
    S:oredict.blockDustTritaniumHexaastatide.name=Блок пыли (Tritanium Hexaastatide)
    S:oredict.blockDustTritaniumHexabromide.name=Блок пыли (Tritanium Hexabromide)
    S:oredict.blockDustTritaniumHexachloride.name=Блок пыли (Tritanium Hexachloride)
    S:oredict.blockDustTritaniumHexafluoride.name=Блок пыли (Tritanium Hexafluoride)
    S:oredict.blockDustTritaniumHexaiodide.name=Блок пыли (Tritanium Hexaiodide)
    S:oredict.blockDustTrona.name=Блок пыли (Trona)
    S:oredict.blockDustTungstate.name=Блок пыли (Tungstate)
    S:oredict.blockDustTungsten.name=Блок пыли (Tungsten)
    S:oredict.blockDustTungstenCarbide.name=Блок пыли (Tungsten Carbide)
    S:oredict.blockDustTungstenTrioxide.name=Блок пыли (Tungsten Trioxide)
    S:oredict.blockDustTungstensteel.name=Блок пыли (Tungstensteel)
    S:oredict.blockDustTungsticAcid.name=Блок пыли (Tungstic Acid)
    S:oredict.blockDustUltimet.name=Блок пыли (Ultimet)
    S:oredict.blockDustUmber.name=Блок пыли (Umberstone)
    S:oredict.blockDustUnbinilium.name=Блок пыли (Unbinilium)
    S:oredict.blockDustUnstable.name=Блок пыли (Unstable)
    S:oredict.blockDustUnunennium.name=Блок пыли (Ununennium)
    S:oredict.blockDustUraninite.name=Блок пыли (Uraninite)
    S:oredict.blockDustUranium.name=Блок пыли (Uranium)
    S:oredict.blockDustUranium233.name=Блок пыли (Uranium-233)
    S:oredict.blockDustUranium235.name=Блок пыли (Uranium-235)
    S:oredict.blockDustUranium235Tetrafluoride.name=Блок пыли (Uranium-235 Tetrafluoride)
    S:oredict.blockDustUranium238Tetrafluoride.name=Блок пыли (Uranium-238 Tetrafluoride)
    S:oredict.blockDustUraniumTetrafluoride.name=Блок пыли (Uranium Tetrafluoride)
    S:oredict.blockDustUvarovite.name=Блок пыли (Uvarovite)
    S:oredict.blockDustValonite.name=Блок пыли (Valonite)
    S:oredict.blockDustVanadium.name=Блок пыли (Vanadium)
    S:oredict.blockDustVanadiumGallium.name=Блок пыли (Vanadium-Gallium)
    S:oredict.blockDustVanadiumMagnetite.name=Блок пыли (Vanadium Magnetite)
    S:oredict.blockDustVanadiumPentoxide.name=Блок пыли (Vanadium Pentoxide)
    S:oredict.blockDustVanadiumSteel.name=Блок пыли (Vanadiumsteel)
    S:oredict.blockDustVanilla.name=Блок молотой ванили
    S:oredict.blockDustVermiculite.name=Блок вермикулита
    S:oredict.blockDustVibramantium.name=Блок пыли (Vibramantium)
    S:oredict.blockDustVibranium.name=Блок пыли (Vibranium)
    S:oredict.blockDustVibraniumSilver.name=Блок пыли (Vibranium Silver)
    S:oredict.blockDustVibraniumSteel.name=Блок пыли (Vibranium Steel)
    S:oredict.blockDustVibrantAlloy.name=Блок пыли (Vibrant Alloy)
    S:oredict.blockDustVinteum.name=Блок пыли (Vinteum)
    S:oredict.blockDustVinteumPurified.name=Блок пыли (Purified Vinteum)
    S:oredict.blockDustVividAlloy.name=Блок пыли (Vivid Alloy)
    S:oredict.blockDustVoidCrystal.name=Блок пыли (Void)
    S:oredict.blockDustVoidMetal.name=Блок пыли (Void Metal)
    S:oredict.blockDustVoidQuartz.name=Блок пыли (Void Quartz)
    S:oredict.blockDustVolcanicAshes.name=Блок пепла (Вулканический)
    S:oredict.blockDustVulcanite.name=Блок пыли (Vulcanite)
    S:oredict.blockDustVyroxeres.name=Блок пыли (Vyroxeres)
    S:oredict.blockDustWalnutwood.name=Блок опилок (Walnutwood)
    S:oredict.blockDustWarpedwood.name=Блок опилок (Warped Wood)
    S:oredict.blockDustWax.name=Блок воска
    S:oredict.blockDustWaxAmnesic.name=Блок воска (Amnesic)
    S:oredict.blockDustWaxBee.name=Блок воска (Bees)
    S:oredict.blockDustWaxMagic.name=Блок воска (Magic)
    S:oredict.blockDustWaxParaffin.name=Блок воска (Paraffin)
    S:oredict.blockDustWaxPlant.name=Блок воска (Plant)
    S:oredict.blockDustWaxRefractory.name=Блок воска (Refractory)
    S:oredict.blockDustWaxSoulful.name=Блок воска (Soulful)
    S:oredict.blockDustWeedwood.name=Блок опилок (Weedwood)
    S:oredict.blockDustWenge.name=Блок опилок (Wenge)
    S:oredict.blockDustWheat.name=Блок муки
    S:oredict.blockDustWhite.name=Блок красителя (Белый)
    S:oredict.blockDustWhiteCedar.name=Блок опилок (White Cedar)
    S:oredict.blockDustWhiteElm.name=Блок опилок (White Elm)
    S:oredict.blockDustWhiteFluorite.name=Блок пыли (White Fluorite)
    S:oredict.blockDustWhitePhosphorus.name=Блок пыли (White Phosphorus)
    S:oredict.blockDustWhitebeam.name=Блок опилок (Whitebeam)
    S:oredict.blockDustWillow.name=Блок опилок (Willow)
    S:oredict.blockDustWitchwood.name=Блок опилок (Witchwood)
    S:oredict.blockDustWolframite.name=Блок пыли (Wolframite)
    S:oredict.blockDustWollastonite.name=Блок пыли (Wollastonite)
    S:oredict.blockDustWood.name=Блок опилок (Wood)
    S:oredict.blockDustWoodBleached.name=Блок опилок (Bleached Wood)
    S:oredict.blockDustWoodCompressed.name=Блок опилок (Compressed Wood)
    S:oredict.blockDustWoodDead.name=Блок опилок (Dead Wood)
    S:oredict.blockDustWoodFrozen.name=Блок опилок (Frozen Wood)
    S:oredict.blockDustWoodMossy.name=Блок опилок (Mossy Wood)
    S:oredict.blockDustWoodPolished.name=Блок опилок (Polished Wood)
    S:oredict.blockDustWoodRotten.name=Блок опилок (Rotten Wood)
    S:oredict.blockDustWoodRubber.name=Блок опилок (Rubber Wood)
    S:oredict.blockDustWoodScorched.name=Блок опилок (Scorched Wood)
    S:oredict.blockDustWoodTainted.name=Блок опилок (Tainted Wood)
    S:oredict.blockDustWoodTreated.name=Блок опилок (Treated Wood)
    S:oredict.blockDustWoodVarnished.name=Блок опилок (Varnished Wood)
    S:oredict.blockDustWorkersAlloy.name=Блок пыли (Workers Alloy)
    S:oredict.blockDustWulfenite.name=Блок пыли (Wulfenite)
    S:oredict.blockDustWyvernwood.name=Блок опилок (Wyvernwood)
    S:oredict.blockDustYellorite.name=Блок пыли (Yellorite)
    S:oredict.blockDustYellorium.name=Блок пыли (Yellorium)
    S:oredict.blockDustYellow.name=Блок красителя (Желтый)
    S:oredict.blockDustYellowAventurine.name=Блок пыли (Yellow Aventurine)
    S:oredict.blockDustYellowFluorite.name=Блок пыли (Yellow Fluorite)
    S:oredict.blockDustYellowJasper.name=Блок пыли (Yellow Jasper)
    S:oredict.blockDustYellowLimonite.name=Блок пыли (Yellow Limonite)
    S:oredict.blockDustYellowSapphire.name=Блок пыли (Yellow Sapphire)
    S:oredict.blockDustYew.name=Блок опилок (Yew)
    S:oredict.blockDustYtterbium.name=Блок пыли (Ytterbium)
    S:oredict.blockDustYttrium.name=Блок пыли (Yttrium)
    S:oredict.blockDustYttriumBariumCuprate.name=Блок пыли (Yttrium-Barium-Cuprate)
    S:oredict.blockDustZanite.name=Блок пыли (Zanite)
    S:oredict.blockDustZebrawood.name=Блок опилок (Zebrawood)
    S:oredict.blockDustZeolite.name=Блок пыли (Zeolite)
    S:oredict.blockDustZinc.name=Блок пыли (Zinc)
    S:oredict.blockDustZircon.name=Блок пыли (Zircon)
    S:oredict.blockDustZirconium.name=Блок пыли (Zirconium)
