    S:oredict.plateAbyssalnite.name=Пластина (Abyssalnite)
    S:oredict.plateMarsSand.name=Пластина (Mars Sand)
    S:oredict.plateMarsStone.name=Пластина (Mars)
    S:oredict.plateMauftrium.name=Пластина (Mauftrium)
    S:oredict.plateMeitnerium.name=Пластина (Meitnerium)
    S:oredict.plateMelodicAlloy.name=Пластина (Melodic Alloy)
    S:oredict.plateMendelevium.name=Пластина (Mendelevium)
    S:oredict.plateMercury.name=Пластина (Mercury)
    S:oredict.plateMeteoricBlackSteel.name=Пластина (Meteoric Black Steel)
    S:oredict.plateMeteoricBlueSteel.name=Пластина (Meteoric Blue Steel)
    S:oredict.plateMeteoricIron.name=Пластина (Meteoric Iron)
    S:oredict.plateMeteoricRedSteel.name=Пластина (Meteoric Red Steel)
    S:oredict.plateMeteoricSteel.name=Пластина (Meteoric Steel)
    S:oredict.plateMeteorite.name=Пластина (Meteorite)
    S:oredict.plateMeutoite.name=Пластина (Meutoite)
    S:oredict.plateMidasium.name=Пластина (Midasium)
    S:oredict.plateMigmatite.name=Пластина (Migmatite)
    S:oredict.plateMingrade.name=Пластина (Red Copper)
    S:oredict.plateMithril.name=Пластина (Mithril)
    S:oredict.plateMolybdenum.name=Пластина (Molybdenum)
    S:oredict.plateMoonStone.name=Пластина (Moon)
    S:oredict.plateMoonTurf.name=Пластина (Moon Turf)
    S:oredict.plateMoscovium.name=Пластина (Moscovium)
    S:oredict.plateMuspelheimPower.name=Пластина (Muspelheim Power)
    S:oredict.plateNaquadah.name=Пластина (Naquadah)
    S:oredict.plateNaquadahEnriched.name=Пластина (Enriched Naquadah)
    S:oredict.plateNaquadria.name=Пластина (Naquadria)
    S:oredict.plateNeodymium.name=Пластина (Neodymium)
    S:oredict.plateNeodymiumMagnetic.name=Пластина (Magnetic Neodymium)
    S:oredict.plateNeptunium.name=Пластина (Neptunium)
    S:oredict.plateNetherBrick.name=Пластина (Nether Brick)
    S:oredict.plateNetherite.name=Пластина (Netherite)
    S:oredict.plateNetherizedDiamond.name=Пластина (Netherized Diamond)
    S:oredict.plateNetherrack.name=Пластина (Netherrack)
    S:oredict.plateNichrome.name=Пластина (Nichrome)
    S:oredict.plateNickel.name=Пластина (Nickel)
    S:oredict.plateNiflheimPower.name=Пластина (Niflheim Power)
    S:oredict.plateNihonium.name=Пластина (Nihonium)
    S:oredict.plateNikolineAlloy.name=Пластина (Nikoline Alloy)
    S:oredict.plateNiobium.name=Пластина (Niobium)
    S:oredict.plateNiobiumNitride.name=Пластина (Niobium Nitride)
    S:oredict.plateNiobiumTitanium.name=Пластина (Niobium Titanium)
    S:oredict.plateNobelium.name=Пластина (Nobelium)
    S:oredict.plateObsidian.name=Пластина (Obsidian)
    S:oredict.plateObsidianRefined.name=Пластина (Refined Obsidian)
    S:oredict.plateObsidianSteel.name=Пластина (Obsidian Steel)
    S:oredict.plateOctine.name=Пластина (Octine)
    S:oredict.plateOganesson.name=Пластина (Oganesson)
    S:oredict.plateOrichalcum.name=Пластина (Orichalcum)
    S:oredict.plateOriharukon.name=Пластина (Oriharukon)
    S:oredict.plateOsmiridium.name=Пластина (Osmiridium)
    S:oredict.plateOsmiumElemental.name=Пластина (Osmium)
    S:oredict.plateOureclase.name=Пластина (Oureclase)
    S:oredict.platePEZ.name=Пластина (PEZ)
    S:oredict.platePalladium.name=Пластина (Palladium)
    S:oredict.platePalygorskite.name=Пластина (Palygorskite Clay)
    S:oredict.platePetrifiedWood.name=Планка (Petrified Wood)
    S:oredict.platePetroleumCoke.name=Пластина (Petroleum Coke)
    S:oredict.platePigIron.name=Пластина (Pig Iron)
    S:oredict.platePinkschist.name=Пластина (Pink Schist)
    S:oredict.platePitstone.name=Пластина (Pitstone)
    S:oredict.platePlastic.name=Лист (Plastic)
    S:oredict.platePlatinum.name=Пластина (Platinum)
    S:oredict.platePlutonium.name=Пластина (Plutonium)
    S:oredict.platePlutonium238.name=Пластина (Plutonium-238)
    S:oredict.platePlutonium239.name=Пластина (Plutonium-239)
    S:oredict.platePlutonium240.name=Пластина (Plutonium-240)
    S:oredict.platePlutonium241.name=Пластина (Plutonium-241)
    S:oredict.platePlutonium243.name=Пластина (Plutonium-243)
    S:oredict.platePolonium.name=Пластина (Polonium)
    S:oredict.platePorcelain.name=Пластина (Porcelain)
    S:oredict.platePotassium.name=Пластина (Potassium)
    S:oredict.platePraseodymium.name=Пластина (Praseodymium)
    S:oredict.platePrismane.name=Пластина (Prismane)
    S:oredict.platePrometheum.name=Пластина (Prometheum)
    S:oredict.platePromethium.name=Пластина (Promethium)
    S:oredict.plateProtactinium.name=Пластина (Protactinium)
    S:oredict.platePulsatingIron.name=Пластина (Pulsating Iron)
    S:oredict.platePumice.name=Пластина (Pumice)
    S:oredict.platePurpleAlloy.name=Пластина (Purple Alloy)
    S:oredict.plateQuadrupleAbyssalnite.name=4х Пластина (Abyssalnite)
    S:oredict.plateQuadrupleActinium.name=4х Пластина (Actinium)
    S:oredict.plateQuadrupleAdamantine.name=4х Пластина (Adamantine)
    S:oredict.plateQuadrupleAdamantite.name=4х Пластина (Adamantite)
    S:oredict.plateQuadrupleAdamantium.name=4х Пластина (Adamantium)
    S:oredict.plateQuadrupleAlduorite.name=4х Пластина (Alduorite)
    S:oredict.plateQuadrupleAluminium.name=4х Пластина (Aluminium)
    S:oredict.plateQuadrupleAluminiumAlloy.name=4х Пластина (Aluminium Alloy)
    S:oredict.plateQuadrupleAluminiumBrass.name=4х Пластина (Aluminium Brass)
    S:oredict.plateQuadrupleAlumite.name=4х Пластина (Alumite)
    S:oredict.plateQuadrupleAmericium.name=4х Пластина (Americium)
    S:oredict.plateQuadrupleAmericium241.name=4х Пластина (Americium-241)
    S:oredict.plateQuadrupleAmericium242.name=4х Пластина (Americium-242)
    S:oredict.plateQuadrupleAmordrine.name=4х Пластина (Amordrine)
    S:oredict.plateQuadrupleAncientDebris.name=4х Пластина (Ancient Debris)
    S:oredict.plateQuadrupleAngmallen.name=4х Пластина (Angmallen)
    S:oredict.plateQuadrupleAnnealedCopper.name=4х Пластина (Annealed Copper)
    S:oredict.plateQuadrupleAntiActinium.name=4х Пластина (Anti-Actinium)
    S:oredict.plateQuadrupleAntiAdamantium.name=4х Пластина (Anti-Adamantium)
    S:oredict.plateQuadrupleAntiAluminium.name=4х Пластина (Anti-Aluminium)
    S:oredict.plateQuadrupleAntiAmericium.name=4х Пластина (Anti-Americium)
    S:oredict.plateQuadrupleAntiAmericium241.name=4х Пластина (Anti-Americium-241)
    S:oredict.plateQuadrupleAntiAntimony.name=4х Пластина (Anti-Antimony)
    S:oredict.plateQuadrupleAntiArsenic.name=4х Пластина (Anti-Arsenic)
    S:oredict.plateQuadrupleAntiAstatine.name=4х Пластина (Anti-Astatine)
    S:oredict.plateQuadrupleAntiBarium.name=4х Пластина (Anti-Barium)
    S:oredict.plateQuadrupleAntiBerkelium.name=4х Пластина (Anti-Berkelium)
    S:oredict.plateQuadrupleAntiBeryllium.name=4х Пластина (Anti-Beryllium)
    S:oredict.plateQuadrupleAntiBismuth.name=4х Пластина (Anti-Bismuth)
    S:oredict.plateQuadrupleAntiBohrium.name=4х Пластина (Anti-Bohrium)
    S:oredict.plateQuadrupleAntiBoron.name=4х Пластина (Anti-Boron)
    S:oredict.plateQuadrupleAntiCadmium.name=4х Пластина (Anti-Cadmium)
    S:oredict.plateQuadrupleAntiCaesium.name=4х Пластина (Anti-Caesium)
    S:oredict.plateQuadrupleAntiCalifornium.name=4х Пластина (Anti-Californium)
    S:oredict.plateQuadrupleAntiCerium.name=4х Пластина (Anti-Cerium)
    S:oredict.plateQuadrupleAntiChromium.name=4х Пластина (Anti-Chromium)
    S:oredict.plateQuadrupleAntiCobalt.name=4х Пластина (Anti-Cobalt)
    S:oredict.plateQuadrupleAntiCobalt60.name=4х Пластина (Anti-Cobalt-60)
    S:oredict.plateQuadrupleAntiCopernicium.name=4х Пластина (Anti-Copernicium)
    S:oredict.plateQuadrupleAntiCopper.name=4х Пластина (Anti-Copper)
    S:oredict.plateQuadrupleAntiCurium.name=4х Пластина (Anti-Curium)
    S:oredict.plateQuadrupleAntiDarmstadtium.name=4х Пластина (Anti-Darmstadtium)
    S:oredict.plateQuadrupleAntiDubnium.name=4х Пластина (Anti-Dubnium)
    S:oredict.plateQuadrupleAntiDysprosium.name=4х Пластина (Anti-Dysprosium)
    S:oredict.plateQuadrupleAntiEinsteinium.name=4х Пластина (Anti-Einsteinium)
    S:oredict.plateQuadrupleAntiErbium.name=4х Пластина (Anti-Erbium)
    S:oredict.plateQuadrupleAntiEuropium.name=4х Пластина (Anti-Europium)
    S:oredict.plateQuadrupleAntiFarnsium.name=4х Пластина (Anti-Farnsium)
    S:oredict.plateQuadrupleAntiFermium.name=4х Пластина (Anti-Fermium)
    S:oredict.plateQuadrupleAntiFlerovium.name=4х Пластина (Anti-Flerovium)
    S:oredict.plateQuadrupleAntiFlerovium298.name=4х Пластина (Anti-Flerovium-298)
    S:oredict.plateQuadrupleAntiFrancium.name=4х Пластина (Anti-Francium)
    S:oredict.plateQuadrupleAntiGadolinium.name=4х Пластина (Anti-Gadolinium)
    S:oredict.plateQuadrupleAntiGallium.name=4х Пластина (Anti-Gallium)
    S:oredict.plateQuadrupleAntiGermanium.name=4х Пластина (Anti-Germanium)
    S:oredict.plateQuadrupleAntiGold.name=4х Пластина (Anti-Gold)
    S:oredict.plateQuadrupleAntiHafnium.name=4х Пластина (Anti-Hafnium)
    S:oredict.plateQuadrupleAntiHassium.name=4х Пластина (Anti-Hassium)
    S:oredict.plateQuadrupleAntiHolmium.name=4х Пластина (Anti-Holmium)
    S:oredict.plateQuadrupleAntiIndium.name=4х Пластина (Anti-Indium)
    S:oredict.plateQuadrupleAntiIridium.name=4х Пластина (Anti-Iridium)
    S:oredict.plateQuadrupleAntiIron.name=4х Пластина (Anti-Iron)
    S:oredict.plateQuadrupleAntiLanthanum.name=4х Пластина (Anti-Lanthanum)
    S:oredict.plateQuadrupleAntiLawrencium.name=4х Пластина (Anti-Lawrencium)
    S:oredict.plateQuadrupleAntiLead.name=4х Пластина (Anti-Lead)
    S:oredict.plateQuadrupleAntiLivermorium.name=4х Пластина (Anti-Livermorium)
    S:oredict.plateQuadrupleAntiLutetium.name=4х Пластина (Anti-Lutetium)
    S:oredict.plateQuadrupleAntiMagnesium.name=4х Пластина (Anti-Magnesium)
    S:oredict.plateQuadrupleAntiManganese.name=4х Пластина (Anti-Manganese)
    S:oredict.plateQuadrupleAntiMeitnerium.name=4х Пластина (Anti-Meitnerium)
    S:oredict.plateQuadrupleAntiMendelevium.name=4х Пластина (Anti-Mendelevium)
    S:oredict.plateQuadrupleAntiMercury.name=4х Пластина (Anti-Mercury)
    S:oredict.plateQuadrupleAntiMolybdenum.name=4х Пластина (Anti-Molybdenum)
    S:oredict.plateQuadrupleAntiNaquadah.name=4х Пластина (Anti-Naquadah)
    S:oredict.plateQuadrupleAntiNaquadahEnriched.name=4х Пластина (Enriched Anti-Naquadah)
    S:oredict.plateQuadrupleAntiNaquadria.name=4х Пластина (Anti-Naquadria)
    S:oredict.plateQuadrupleAntiNeodymium.name=4х Пластина (Anti-Neodymium)
    S:oredict.plateQuadrupleAntiNeptunium.name=4х Пластина (Anti-Neptunium)
    S:oredict.plateQuadrupleAntiNickel.name=4х Пластина (Anti-Nickel)
    S:oredict.plateQuadrupleAntiNiobium.name=4х Пластина (Anti-Niobium)
    S:oredict.plateQuadrupleAntiNobelium.name=4х Пластина (Anti-Nobelium)
    S:oredict.plateQuadrupleAntiOsmium.name=4х Пластина (Anti-Osmium)
    S:oredict.plateQuadrupleAntiPalladium.name=4х Пластина (Anti-Palladium)
    S:oredict.plateQuadrupleAntiPlatinum.name=4х Пластина (Anti-Platinum)
    S:oredict.plateQuadrupleAntiPlutonium.name=4х Пластина (Anti-Plutonium)
    S:oredict.plateQuadrupleAntiPlutonium241.name=4х Пластина (Anti-Plutonium-241)
    S:oredict.plateQuadrupleAntiPlutonium243.name=4х Пластина (Anti-Plutonium-243)
    S:oredict.plateQuadrupleAntiPolonium.name=4х Пластина (Anti-Polonium)
    S:oredict.plateQuadrupleAntiPraseodymium.name=4х Пластина (Anti-Praseodymium)
    S:oredict.plateQuadrupleAntiPromethium.name=4х Пластина (Anti-Promethium)
    S:oredict.plateQuadrupleAntiProtactinium.name=4х Пластина (Anti-Protactinium)
    S:oredict.plateQuadrupleAntiRadium.name=4х Пластина (Anti-Radium)
    S:oredict.plateQuadrupleAntiRhenium.name=4х Пластина (Anti-Rhenium)
    S:oredict.plateQuadrupleAntiRhodium.name=4х Пластина (Anti-Rhodium)
    S:oredict.plateQuadrupleAntiRoentgenium.name=4х Пластина (Anti-Roentgenium)
    S:oredict.plateQuadrupleAntiRubidium.name=4х Пластина (Anti-Rubidium)
    S:oredict.plateQuadrupleAntiRuthenium.name=4х Пластина (Anti-Ruthenium)
    S:oredict.plateQuadrupleAntiRutherfordium.name=4х Пластина (Anti-Rutherfordium)
    S:oredict.plateQuadrupleAntiSamarium.name=4х Пластина (Anti-Samarium)
    S:oredict.plateQuadrupleAntiScandium.name=4х Пластина (Anti-Scandium)
    S:oredict.plateQuadrupleAntiSeaborgium.name=4х Пластина (Anti-Seaborgium)
    S:oredict.plateQuadrupleAntiSilicon.name=4х Пластина (Anti-Silicon)
    S:oredict.plateQuadrupleAntiSilver.name=4х Пластина (Anti-Silver)
    S:oredict.plateQuadrupleAntiStrontium.name=4х Пластина (Anti-Strontium)
    S:oredict.plateQuadrupleAntiTantalum.name=4х Пластина (Anti-Tantalum)
    S:oredict.plateQuadrupleAntiTechnetium.name=4х Пластина (Anti-Technetium)
    S:oredict.plateQuadrupleAntiTellurium.name=4х Пластина (Anti-Tellurium)
    S:oredict.plateQuadrupleAntiTerbium.name=4х Пластина (Anti-Terbium)
    S:oredict.plateQuadrupleAntiThallium.name=4х Пластина (Anti-Thallium)
    S:oredict.plateQuadrupleAntiThorium.name=4х Пластина (Anti-Thorium)
    S:oredict.plateQuadrupleAntiThulium.name=4х Пластина (Anti-Thulium)
    S:oredict.plateQuadrupleAntiTin.name=4х Пластина (Anti-Tin)
    S:oredict.plateQuadrupleAntiTitanium.name=4х Пластина (Anti-Titanium)
    S:oredict.plateQuadrupleAntiTungsten.name=4х Пластина (Anti-Tungsten)
    S:oredict.plateQuadrupleAntiUnbinilium.name=4х Пластина (Anti-Unbinilium)
    S:oredict.plateQuadrupleAntiUnunennium.name=4х Пластина (Anti-Ununennium)
    S:oredict.plateQuadrupleAntiUnunoctium.name=4х Пластина (Anti-Ununoctium)
    S:oredict.plateQuadrupleAntiUnunpentium.name=4х Пластина (Anti-Ununpentium)
    S:oredict.plateQuadrupleAntiUnuntrium.name=4х Пластина (Anti-Ununtrium)
    S:oredict.plateQuadrupleAntiUranium.name=4х Пластина (Anti-Uranium)
    S:oredict.plateQuadrupleAntiUranium235.name=4х Пластина (Anti-Uranium-235)
    S:oredict.plateQuadrupleAntiVanadium.name=4х Пластина (Anti-Vanadium)
    S:oredict.plateQuadrupleAntiYtterbium.name=4х Пластина (Anti-Ytterbium)
    S:oredict.plateQuadrupleAntiYttrium.name=4х Пластина (Anti-Yttrium)
    S:oredict.plateQuadrupleAntiZinc.name=4х Пластина (Anti-Zinc)
    S:oredict.plateQuadrupleAntiZirconium.name=4х Пластина (Anti-Zirconium)
    S:oredict.plateQuadrupleAntimony.name=4х Пластина (Antimony)
    S:oredict.plateQuadrupleArdite.name=4х Пластина (Ardite)
    S:oredict.plateQuadrupleAredrite.name=4х Пластина (Aredrite)
    S:oredict.plateQuadrupleArsenic.name=4х Пластина (Arsenic)
    S:oredict.plateQuadrupleAstatine.name=4х Пластина (Astatine)
    S:oredict.plateQuadrupleAstralSilver.name=4х Пластина (Astral Silver)
    S:oredict.plateQuadrupleAtlarus.name=4х Пластина (Atlarus)
    S:oredict.plateQuadrupleBarium.name=4х Пластина (Barium)
    S:oredict.plateQuadrupleBatteryAlloy.name=4х Пластина (Battery Alloy)
    S:oredict.plateQuadrupleBedrockHSLAAlloy.name=4х Пластина (Bedrock-HSLA-Alloy)
    S:oredict.plateQuadrupleBedrockium.name=4х Пластина (Bedrockium)
    S:oredict.plateQuadrupleBerkelium.name=4х Пластина (Berkelium)
    S:oredict.plateQuadrupleBeryllium.name=4х Пластина (Beryllium)
    S:oredict.plateQuadrupleBeryllium7.name=4х Пластина (Beryllium-7)
    S:oredict.plateQuadrupleBeryllium8.name=4х Пластина (Beryllium-8)
    S:oredict.plateQuadrupleBismuth.name=4х Пластина (Bismuth)
    S:oredict.plateQuadrupleBismuthBronze.name=4х Пластина (Bismuth Bronze)
    S:oredict.plateQuadrupleBlackBronze.name=4х Пластина (Black Bronze)
    S:oredict.plateQuadrupleBlackSteel.name=4х Пластина (Black Steel)
    S:oredict.plateQuadrupleBlueAlloy.name=4х Пластина (Blue Alloy)
    S:oredict.plateQuadrupleBlueSteel.name=4х Пластина (Blue Steel)
    S:oredict.plateQuadrupleBlutonium.name=4х Пластина (Blutonium)
    S:oredict.plateQuadrupleBohrium.name=4х Пластина (Bohrium)
    S:oredict.plateQuadrupleBoron.name=4х Пластина (Boron)
    S:oredict.plateQuadrupleBoron11.name=4х Пластина (Boron-11)
    S:oredict.plateQuadrupleBrass.name=4х Пластина (Brass)
    S:oredict.plateQuadrupleBronze.name=4х Пластина (Bronze)
    S:oredict.plateQuadrupleCadmium.name=4х Пластина (Cadmium)
    S:oredict.plateQuadrupleCaesium.name=4х Пластина (Caesium)
    S:oredict.plateQuadrupleCalcium.name=4х Пластина (Calcium)
    S:oredict.plateQuadrupleCalifornium.name=4х Пластина (Californium)
    S:oredict.plateQuadrupleCarborundum.name=4х Пластина (Carborundum)
    S:oredict.plateQuadrupleCarmot.name=4х Пластина (Carmot)
    S:oredict.plateQuadrupleCastIron.name=4х Пластина (Cast Iron)
    S:oredict.plateQuadrupleCdInAgAlloy.name=4х Пластина (Cd-In-Ag-Alloy)
    S:oredict.plateQuadrupleCelenegil.name=4х Пластина (Celenegil)
    S:oredict.plateQuadrupleCerium.name=4х Пластина (Cerium)
    S:oredict.plateQuadrupleCeruclase.name=4х Пластина (Ceruclase)
    S:oredict.plateQuadrupleChromium.name=4х Пластина (Chromium)
    S:oredict.plateQuadrupleChromiumDioxide.name=4х Пластина (Chromium Dioxide)
    S:oredict.plateQuadrupleClayCompound.name=4х Пластина (Clay Compound)
    S:oredict.plateQuadrupleCobalt.name=4х Пластина (Cobalt)
    S:oredict.plateQuadrupleCobalt60.name=4х Пластина (Cobalt-60)
    S:oredict.plateQuadrupleCobaltBrass.name=4х Пластина (Cobalt Brass)
    S:oredict.plateQuadrupleConductiveIron.name=4х Пластина (Conductive Iron)
    S:oredict.plateQuadrupleConstantan.name=4х Пластина (Constantan)
    S:oredict.plateQuadrupleCopernicium.name=4х Пластина (Copernicium)
    S:oredict.plateQuadrupleCopper.name=4х Пластина (Copper)
    S:oredict.plateQuadrupleCoralium.name=4х Пластина (Coralium)
    S:oredict.plateQuadrupleCosmicNeutronium.name=4х Пластина (Cosmic Neutronium)
    S:oredict.plateQuadrupleCrystalMatrix.name=4х Пластина (Crystal Matrix)
    S:oredict.plateQuadrupleCrystallineAlloy.name=4х Пластина (Crystalline Alloy)
    S:oredict.plateQuadrupleCrystallinePinkSlime.name=4х Пластина (Crystalline Pink Slime)
    S:oredict.plateQuadrupleCurium.name=4х Пластина (Curium)
    S:oredict.plateQuadrupleCyanite.name=4х Пластина (Cyanite)
    S:oredict.plateQuadrupleDamascusSteel.name=4х Пластина (Damascus Steel)
    S:oredict.plateQuadrupleDarkIron.name=4х Пластина (Dark Iron)
    S:oredict.plateQuadrupleDarkThaumium.name=4х Пластина (Dark Thaumium)
    S:oredict.plateQuadrupleDarmstadtium.name=4х Пластина (Darmstadtium)
    S:oredict.plateQuadrupleDeepIron.name=4х Пластина (Deep Iron)
    S:oredict.plateQuadrupleDesh.name=4х Пластина (Desh)
    S:oredict.plateQuadrupleDesichalkos.name=4х Пластина (Desichalkos)
    S:oredict.plateQuadrupleDraconium.name=4х Пластина (Draconium)
    S:oredict.plateQuadrupleDraconiumAwakened.name=4х Пластина (Awakened Draconium)
    S:oredict.plateQuadrupleDreadium.name=4х Пластина (Dreadium)
    S:oredict.plateQuadrupleDubnium.name=4х Пластина (Dubnium)
    S:oredict.plateQuadrupleDuralumin.name=4х Пластина (Duralumin)
    S:oredict.plateQuadrupleDuranium.name=4х Пластина (Duranium Alloy)
    S:oredict.plateQuadrupleDysprosium.name=4х Пластина (Dysprosium)
    S:oredict.plateQuadrupleEfrine.name=4х Пластина (Efrine)
    S:oredict.plateQuadrupleEinsteinium.name=4х Пластина (Einsteinium)
    S:oredict.plateQuadrupleElectricalSteel.name=4х Пластина (Electrical Steel)
    S:oredict.plateQuadrupleElectrotineAlloy.name=4х Пластина (Electrotine Alloy)
    S:oredict.plateQuadrupleElectrum.name=4х Пластина (Electrum)
    S:oredict.plateQuadrupleElectrumFlux.name=4х Пластина (Electrum Flux)
    S:oredict.plateQuadrupleElvenElementium.name=4х Пластина (Elementium)
    S:oredict.plateQuadrupleElvorium.name=4х Пластина (Elvorium)
    S:oredict.plateQuadrupleEmpty.name=4х Пластина (Empty)
    S:oredict.plateQuadrupleEndSteel.name=4х Пластина (End Steel)
    S:oredict.plateQuadrupleEnderium.name=4х Пластина (Enderium)
    S:oredict.plateQuadrupleEnderiumBase.name=4х Пластина (Enderium Base)
    S:oredict.plateQuadrupleEndium.name=4х Пластина (Endium)
    S:oredict.plateQuadrupleEnergeticAlloy.name=4х Пластина (Energetic Alloy)
    S:oredict.plateQuadrupleEnergeticSilver.name=4х Пластина (Energetic Silver)
    S:oredict.plateQuadrupleErbium.name=4х Пластина (Erbium)
    S:oredict.plateQuadrupleEthaxium.name=4х Пластина (Ethaxium)
    S:oredict.plateQuadrupleEuropium.name=4х Пластина (Europium)
    S:oredict.plateQuadrupleEximite.name=4х Пластина (Eximite)
    S:oredict.plateQuadrupleFarnsium.name=4х Пластина (Farnsium)
    S:oredict.plateQuadrupleFermium.name=4х Пластина (Fermium)
    S:oredict.plateQuadrupleFerrite.name=4х Пластина (Ferrite)
    S:oredict.plateQuadrupleFierySteel.name=4х Пластина (Fiery Steel)
    S:oredict.plateQuadrupleFlerovium.name=4х Пластина (Flerovium)
    S:oredict.plateQuadrupleFlerovium298.name=4х Пластина (Flerovium-298)
    S:oredict.plateQuadrupleForce.name=4х Пластина (Force)
    S:oredict.plateQuadrupleFrancium.name=4х Пластина (Francium)
    S:oredict.plateQuadrupleFrozenIron.name=4х Пластина (Frozen Iron)
    S:oredict.plateQuadrupleGadolinium.name=4х Пластина (Gadolinium)
    S:oredict.plateQuadrupleGaiaSpirit.name=4х Пластина (Gaia Spirit)
    S:oredict.plateQuadrupleGallium.name=4х Пластина (Gallium)
    S:oredict.plateQuadrupleGermanium.name=4х Пластина (Germanium)
    S:oredict.plateQuadrupleGildedIron.name=4х Пластина (Gilded Iron)
    S:oredict.plateQuadrupleGlowstoneRefined.name=4х Пластина (Refined Glowstone)
    S:oredict.plateQuadrupleGold.name=4х Пластина (Gold)
    S:oredict.plateQuadrupleGold198.name=4х Пластина (Gold-198)
    S:oredict.plateQuadrupleGoldInductive.name=4х Пластина (Inductive Alloy)
    S:oredict.plateQuadrupleHSLASpringSteel.name=4х Пластина (Spring Steel)
    S:oredict.plateQuadrupleHSLASteel.name=4х Пластина (HSLA-Steel)
    S:oredict.plateQuadrupleHSLATungstenAlloy.name=4х Пластина (Tungsten Alloy)
    S:oredict.plateQuadrupleHSSE.name=4х Пластина (HSS-E)
    S:oredict.plateQuadrupleHSSG.name=4х Пластина (HSS-G)
    S:oredict.plateQuadrupleHSSS.name=4х Пластина (HSS-S)
    S:oredict.plateQuadrupleHaderoth.name=4х Пластина (Haderoth)
    S:oredict.plateQuadrupleHafnium.name=4х Пластина (Hafnium)
    S:oredict.plateQuadrupleHassium.name=4х Пластина (Hassium)
    S:oredict.plateQuadrupleHepatizon.name=4х Пластина (Hepatizon)
    S:oredict.plateQuadrupleHolmium.name=4х Пластина (Holmium)
    S:oredict.plateQuadrupleIgnatius.name=4х Пластина (Ignatius)
    S:oredict.plateQuadrupleIndium.name=4х Пластина (Indium)
    S:oredict.plateQuadrupleInfinity.name=4х Пластина (Infinity)
    S:oredict.plateQuadrupleInfuscolium.name=4х Пластина (Infuscolium)
    S:oredict.plateQuadrupleInolashite.name=4х Пластина (Inolashite)
    S:oredict.plateQuadrupleInvar.name=4х Пластина (Invar)
    S:oredict.plateQuadrupleIridium.name=4х Пластина (Iridium)
    S:oredict.plateQuadrupleIron.name=4х Пластина (Iron)
    S:oredict.plateQuadrupleIronCompressed.name=4х Пластина (Compressed Iron)
    S:oredict.plateQuadrupleIronMagnetic.name=4х Пластина (Magnetic Iron)
    S:oredict.plateQuadrupleIronwood.name=4х Планка (Ironwood)
    S:oredict.plateQuadrupleKalendrite.name=4х Пластина (Kalendrite)
    S:oredict.plateQuadrupleKanthal.name=4х Пластина (Kanthal)
    S:oredict.plateQuadrupleKnightmetal.name=4х Пластина (Knightmetal)
    S:oredict.plateQuadrupleKreknorite.name=4х Пластина (Kreknorite)
    S:oredict.plateQuadrupleLanthanium.name=4х Пластина (Lanthanium)
    S:oredict.plateQuadrupleLawrencium.name=4х Пластина (Lawrencium)
    S:oredict.plateQuadrupleLead.name=4х Пластина (Lead)
    S:oredict.plateQuadrupleLemurite.name=4х Пластина (Lemurite)
    S:oredict.plateQuadrupleLithium.name=4х Пластина (Lithium)
    S:oredict.plateQuadrupleLithium6.name=4х Пластина (Lithium-6)
    S:oredict.plateQuadrupleLivermorium.name=4х Пластина (Livermorium)
    S:oredict.plateQuadrupleLudicrite.name=4х Пластина (Ludicrite)
    S:oredict.plateQuadrupleLumium.name=4х Пластина (Lumium)
    S:oredict.plateQuadrupleLutetium.name=4х Пластина (Lutetium)
    S:oredict.plateQuadrupleMagnalium.name=4х Пластина (Magnalium)
    S:oredict.plateQuadrupleMagnesium.name=4х Пластина (Magnesium)
    S:oredict.plateQuadrupleManasteel.name=4х Пластина (Manasteel)
    S:oredict.plateQuadrupleManganese.name=4х Пластина (Manganese)
    S:oredict.plateQuadrupleManyullyn.name=4х Пластина (Manyullyn)
    S:oredict.plateQuadrupleMauftrium.name=4х Пластина (Mauftrium)
    S:oredict.plateQuadrupleMeitnerium.name=4х Пластина (Meitnerium)
    S:oredict.plateQuadrupleMelodicAlloy.name=4х Пластина (Melodic Alloy)
    S:oredict.plateQuadrupleMendelevium.name=4х Пластина (Mendelevium)
    S:oredict.plateQuadrupleMercury.name=4х Пластина (Mercury)
    S:oredict.plateQuadrupleMeteoricBlackSteel.name=4х Пластина (Meteoric Black Steel)
    S:oredict.plateQuadrupleMeteoricBlueSteel.name=4х Пластина (Meteoric Blue Steel)
    S:oredict.plateQuadrupleMeteoricIron.name=4х Пластина (Meteoric Iron)
    S:oredict.plateQuadrupleMeteoricRedSteel.name=4х Пластина (Meteoric Red Steel)
    S:oredict.plateQuadrupleMeteoricSteel.name=4х Пластина (Meteoric Steel)
    S:oredict.plateQuadrupleMeteorite.name=4х Пластина (Meteorite)
    S:oredict.plateQuadrupleMeutoite.name=4х Пластина (Meutoite)
    S:oredict.plateQuadrupleMidasium.name=4х Пластина (Midasium)
    S:oredict.plateQuadrupleMingrade.name=4х Пластина (Red Copper)
    S:oredict.plateQuadrupleMithril.name=4х Пластина (Mithril)
    S:oredict.plateQuadrupleMolybdenum.name=4х Пластина (Molybdenum)
    S:oredict.plateQuadrupleMoscovium.name=4х Пластина (Moscovium)
    S:oredict.plateQuadrupleMuspelheimPower.name=4х Пластина (Muspelheim Power)
